subject,predicate,object,sentence
excavations,yield,insights,The salvage excavations after 1993 have yielded new insights into the layout and history of this period of Beirut's history.
coins,bear,head,"
Mid-1st-century coins from Berytus bear the head of Tyche, goddess of fortune;[35][b] on the reverse, the city's symbol appears: a dolphin entwines an anchor."
dolphin,entwine,anchor,"
Mid-1st-century coins from Berytus bear the head of Tyche, goddess of fortune;[35][b] on the reverse, the city's symbol appears: a dolphin entwines an anchor."
Empire,face,state,"After the Seleucid Empire faced a state of civil war and decline, King Tigranes the Great of the Kingdom of Armenia conquered Beirut and placed it under effective Armenian control."
Tigranes,conquer,Beirut,"After the Seleucid Empire faced a state of civil war and decline, King Tigranes the Great of the Kingdom of Armenia conquered Beirut and placed it under effective Armenian control."
Armenia,lose,holdings,"However, after the Battle of Tigranocerta, Armenia forever lost its holdings in Syria and Beirut was conquered by Roman general Pompey."
city,become,area,"As a result of this settlement, the city quickly became Romanised, and the city became the only mainly Latin-speaking area in the Syria-Phoenicia province.[39]"
Berytus,become,colony,"In 14 BC, during the reign of Herod the Great, Berytus became a colony, one of four in the Syria-Phoenicia region and the only one with full Italian rights (ius Italicum) exempting its citizens from imperial taxation."
Justinian,assemble,Pandects,"When Justinian assembled his Pandects in the 6th century, a large part of the corpus of laws was derived from these two jurists, and in AD 533 Justinian recognised the school as one of the three official law schools of the empire."
Justinian,recognise,school,"When Justinian assembled his Pandects in the 6th century, a large part of the corpus of laws was derived from these two jurists, and in AD 533 Justinian recognised the school as one of the three official law schools of the empire."
earthquake,reduce,cities,"The earthquake reduced cities along the coast to ruins and killed many, 30,000 in Berytus alone by some measurements.[44]"
excavations,yield,insights,"As a result, the students of the law school were transferred to Sidon.[45]
Salvage excavations since 1993 have yielded new insights in the layout and history of Roman Berytus."
architecture,include,complexes,"Public architecture included several bath complexes, Colonnaded Streets, a circus and theatre;[34] residential areas were excavated in the Garden of Forgiveness, Martyrs' Square and the Beirut Souks.[46"
John,grant,lordship,"John of Ibelin, known as the Old Lord of Beirut, was granted the lordship of the city in 1204."
He,rebuild,city,"He rebuilt the city after its destruction by the Ayyubids and also built the House of Ibelin palace in Beirut.[47]
In 1291 Beirut was captured and the Crusaders expelled by the Mamluk army of Sultan al-Ashraf Khalil."
Ottomans,conquer,Syria,"Ottoman rule
[edit]Under the Ottoman sultan Selim I (1512–1520), the Ottomans conquered Syria including present-day Lebanon."
One,fortify,it,"One of them, Fakhr-al-Din II, fortified it early in the 17th century, but the Ottomans reclaimed it in 1763.[49]"
Ottomans,reclaim,it,"One of them, Fakhr-al-Din II, fortified it early in the 17th century, but the Ottomans reclaimed it in 1763.[49]"
Beirut,break,monopoly,"With the help of Damascus, Beirut successfully broke Acre's monopoly on Syrian maritime trade and for a few years supplanted it as the main trading centre in the region."
Pasha,capture,Acre,"After Ibrahim Pasha of Egypt captured Acre in 1832,[50] Beirut began its revival."
Beirut,begin,revival,"After Ibrahim Pasha of Egypt captured Acre in 1832,[50] Beirut began its revival."
he,raise,mercenaries,"After the Albanian fighter Tafil Buzi was interned and then pardoned by the Ottoman administration for his constant uprisings, he raised 3,000 Albanian mercenaries to fight in Lebanon; some of them became notorious shortly afterwards for having been responsible for the widespread disorders in Beirut.[51]
By the second half of the nineteenth century, Beirut was developing close commercial and political ties with European imperial powers, particularly France."
Beirut,develop,ties,"After the Albanian fighter Tafil Buzi was interned and then pardoned by the Ottoman administration for his constant uprisings, he raised 3,000 Albanian mercenaries to fight in Lebanon; some of them became notorious shortly afterwards for having been responsible for the widespread disorders in Beirut.[51]
By the second half of the nineteenth century, Beirut was developing close commercial and political ties with European imperial powers, particularly France."
interests,transform,city,European interests in Lebanese silk and other export products transformed the city into a major port and commercial centre.[52]
groups,establish,empires,"This boom in cross-regional trade allowed certain groups, such as the Sursock family, to establish trade and manufacturing empires that further strengthened Beirut's position as a key partner in the interests of imperial dynasties."
that,strengthen,position,"This boom in cross-regional trade allowed certain groups, such as the Sursock family, to establish trade and manufacturing empires that further strengthened Beirut's position as a key partner in the interests of imperial dynasties."
Beirut,become,destination,Beirut became a destination for Maronite Christian refugees fleeing from the worst areas of the fighting on Mount Lebanon and in Damascus.[53]
This,alter,composition,"This in turn altered the religious composition of Beirut itself, sowing the seeds of future sectarian and religious troubles there and in greater Lebanon."
governor,authorise,establishment,"After petitions by the local bourgeois, the governor of Syria Vilayet Mehmed Rashid Pasha authorised the establishment of the Beirut Municipal Council,[55] the first municipality established in the Arab provinces of the Empire.[56]"
engineers,establish,harbour,"After French engineers established a modern harbour in 1894 and a rail link across Lebanon to Damascus and Aleppo in 1907, much of the trade was carried by French ships to Marseille."
influence,exceed,that,French influence in the area soon exceeded that of any other European power.
Britannica,report,population,"The 1911 Encyclopædia Britannica reported a population consisting of 36,000 Muslims, 77,000 Christians, 2,500 Jews, 400 Druze and 4,100 foreigners.[49]"
Husseini,say,era,"In his 2003 book entitled Beirut and its Seven Families, Yussef Bin Ahmad Bin Ali Al Husseini says:
The seven families of Beirut are the families who bonded among each other and made the famous historical agreement with the governor of the Syrian Coast in 1351 to protect and defend the city of Beirut and its shores, and chase the invaders and stop their progress towards it.
Modern era
[edit]Capital of Lebanon
[edit]After World War I and the collapse of the Ottoman Empire, Beirut, along with the rest of Lebanon, was placed under the French Mandate."
Beirut,become,center,"[61] As a result of integrating Bilad al-Sham into an increasingly Europe-centered world economy, Beirut became a significant center for education and culture.[62]"
Lebanon,achieve,independence,"Lebanon achieved independence in 1943, and Beirut became the capital city."
Beirut,become,city,"Lebanon achieved independence in 1943, and Beirut became the capital city."
troops,shell,quarter,"Syrian troops relentlessly shelled the eastern quarter of the city,[67] but Christian militias defeated multiple attempts by Syria's elite forces to capture the strategic area in a three-month campaign later known as the Hundred Days' War."
militias,defeat,attempts,"Syrian troops relentlessly shelled the eastern quarter of the city,[67] but Christian militias defeated multiple attempts by Syria's elite forces to capture the strategic area in a three-month campaign later known as the Hundred Days' War."
people,rebuild,Beirut,"Since the end of the war in 1990, the people of Lebanon have been rebuilding Beirut, whose urban agglomeration was mainly constituted during war time through an anarchic urban development[71] stretching along the littoral corridor and its nearby heights."
city,regain,status,"By the start of the 2006 Israel-Lebanon conflict the city had somewhat regained its status as a tourist, cultural and intellectual centre in the Middle East and as a centre for commerce, fashion, and media."
city,host,Championship,"The city has hosted both the Asian Club Basketball Championship and the Asian Football Cup, and has hosted the Miss Europe pageant nine times: 1960–1964, 1999, 2001–2002, and 2016."
countries,establish,relations,"The last Syrian troops withdrew from Beirut on 26 April 2005,[77] and the two countries established diplomatic relations on 15 October 2008.[78]
During the 2006 Lebanon War, Israeli bombardment caused damage in many parts of Beirut, especially the predominantly Shiite southern suburbs of Beirut."
bombardment,cause,damage,"The last Syrian troops withdrew from Beirut on 26 April 2005,[77] and the two countries established diplomatic relations on 15 October 2008.[78]
During the 2006 Lebanon War, Israeli bombardment caused damage in many parts of Beirut, especially the predominantly Shiite southern suburbs of Beirut."
IDF,target,outlets,"In response, the IDF targeted Hezbollah's main media outlets."
Israel,bomb,runways,Then on 13 July 2006 Israel began implementing a naval and air blockade over Lebanon; during this blockade Israel bombed the runways at Beirut International Airport and the major Beirut-Damascus highway in Eastern Lebanon.[79]
bomb,kill,people,"On 19 October 2012, a car bomb killed eight people in the Beirut's neighbourhood of Achrafiyeh, including Brigadier General Wissam al-Hassan, chief of the Intelligence Bureau of the Internal Security Forces."
bombers,detonate,explosives,"On 27 December 2013, a car bomb exploded in the Central District killing at least five people, including the former Lebanese ambassador to the U.S. Mohamad Chatah, and wounding 71 others.[84]
In the 12 November 2015 Beirut bombings, two suicide bombers detonated explosives outside a mosque and inside a bakery, killing 43 people and injuring 200."
State,claim,responsibility,"The Islamic State of Iraq and the Levant immediately claimed responsibility for the attacks.[85][86]
On 4 August 2020, a massive explosion in the Port of Beirut resulted in the death of at least 203 people (with an additional three missing)[87] and the wounding of more than 6,500."
Diab,announce,resignation.[91,"On 10 August 2020, as a result of the protests, Prime Minister Hassan Diab announced his resignation.[91]"
Governorate,occupy,kilometres,"The Beirut Governorate occupies 18 square kilometres (6.9 sq mi), and the city's metropolitan area 67 square kilometres (26 sq mi).[93]"
edit]Beirut,have,climate,"Climate
[edit]Beirut has a hot-summer Mediterranean climate (Köppen: Csa, bordering on As, Trewartha: Csal) characterised by mild days and nights, as its coastal location allows temperatures to be moderated by the sea."
edit]Lebanon,suffer,crisis,"[edit]Lebanon, especially Beirut and its suburbs, suffered a massive garbage crisis, mainly from July 2015 up to March 2016."
authorities,shut,site,The issue began when authorities shut down the main landfill site originally used for Beirut's garbage south-east of the city and failed to provide any alternative solutions for months.
Beirut,have,lack,"Moreover, Beirut has a lack of green areas with just two main public gardens (sanayeh and horch Beirut)."
roofs,cover,%,"In fact, concrete roofs cover 80% of the capital area.[97]
Quarters and sectors
[edit]Beirut is divided into 12 quarters (quartiers):[98]
- Achrafieh
- Dar Mreisse
- Bachoura
- Mazraa (with the neighbourhood Badaro)
- Medawar (with the neighbourhood Mar Mikhaël)
- Minet El Hosn
- Moussaitbeh (with Ramlet al-Baida)
- Port
- Ras Beirut
- Rmeil
- Saifi
- Zuqaq al-Blat
These quarters are divided into 59 sectors (secteurs).[99]"
which,include,Hippodrome,"Badaro is an edgy, bohemian style neighbourhood,[citation needed] within the green district of Beirut (secteur du parc) which also include the Beirut Hippodrome and the Beirut Pine Forest and the French ambassador's Pine Residence."
districts,include,Chiyah,"Southern suburban districts include Chiyah, Ghobeiry (Bir Hassan, Jnah and Ouzai are part of the Ghobeiry municipality), Haret Hreik, Burj al Barajneh, Laylake-Mreijeh, Hay al Sillum and Hadath."
suburbs,include,Hammoud,"Eastern suburbs include Burj Hammoud, Sin el Fil, Dekwane and Mkalles."
People,use,names,"Of the 15 unregistered or unofficial refugee camps, Sabra, which lies adjacent to Shatila, is also located in southern Beirut[101] and was the scene of a massacre during the civil war.[102]
People in Lebanon often use different names for the same geographic locations, and few people rely on official, government-provided street numbers."
Beirut,have,population,"East Beirut has a mainly Christian population with a small Muslim minority, whilst West Beirut has a Sunni Muslim majority with small minorities of Shia, Christians and Druze.[citation needed]"
Beirut,have,majority,"East Beirut has a mainly Christian population with a small Muslim minority, whilst West Beirut has a Sunni Muslim majority with small minorities of Shia, Christians and Druze.[citation needed]"
Christians,comprise,1%.[citation,"Christians comprise 35% of Beirut's population, Muslims 63%, Druze 1%, and others 1%.[citation needed]"
edit]Lebanon,hold,survey,"
Languages
[edit]Lebanon does not hold a census survey; researchers at the American University of Beirut have found that trilingualism - between Lebanese Arabic, French and English - is common and normal among Beirut residents.[112]"
minorities,speak,District,"Some minorities in Beirut also speak Armenian, Aramaic, and Amharic.[112]
Beirut Central District
[edit]The Beirut Central District (BCD) or Centre Ville is the name given to Beirut's historical and geographical core by ""Solidere"", the ""vibrant financial, commercial, and administrative hub of the country"".[113]"
District,undergo,plan,"Due to the devastation incurred on the city centre from the Lebanese Civil War, the Beirut Central District underwent a thorough reconstruction and development plan that gave it back its cultural and economic position in the region."
that,give,position,"Due to the devastation incurred on the city centre from the Lebanese Civil War, the Beirut Central District underwent a thorough reconstruction and development plan that gave it back its cultural and economic position in the region."
District,contain,gardens,"The Beirut Central District contains over 60 gardens, squares and open spaces."
spaces,comprise,streets,"These spaces comprise landscaped streets, gardens, historical squares, pedestrian areas and sea promenades thus totalling to an area of 96 acres (39 ha) of open spaces."
that,characterise,souks,"Beirut Souks are the Central District's old medieval market, recently renovated along with the original Hellenistic street grid that characterised the old souks and the area's historical landmarks along long vaulted shopping alleys and arcades.[118]"
Solidere,organise,events,"Solidere, the company responsible for the reconstruction and renovation of the district, organises music and entertainment events all throughout the year like the Beirut Marathon, Fête de la Musique, Beirut Jazz Festival."
Policy,facilitate,inflows,"The Open Door Policy facilitated foreign capital inflows, with French firms dominating investments and four of Beirut's five leading banks being French-owned by the 1920s,[123] after which the city further solidified its status as a key financial link between the West and the decolonising Middle East.[123]
In an area dominated by authoritarian or militarist regimes, the Lebanese capital was generally regarded as a haven of libertarianism, though a precarious one, as the Lebanese Civil War (1975–1990) and subsequent conflicts significantly altered the political landscape.[citation needed]"
firms,dominate,investments,"The Open Door Policy facilitated foreign capital inflows, with French firms dominating investments and four of Beirut's five leading banks being French-owned by the 1920s,[123] after which the city further solidified its status as a key financial link between the West and the decolonising Middle East.[123]
In an area dominated by authoritarian or militarist regimes, the Lebanese capital was generally regarded as a haven of libertarianism, though a precarious one, as the Lebanese Civil War (1975–1990) and subsequent conflicts significantly altered the political landscape.[citation needed]"
city,solidify,status,"The Open Door Policy facilitated foreign capital inflows, with French firms dominating investments and four of Beirut's five leading banks being French-owned by the 1920s,[123] after which the city further solidified its status as a key financial link between the West and the decolonising Middle East.[123]
In an area dominated by authoritarian or militarist regimes, the Lebanese capital was generally regarded as a haven of libertarianism, though a precarious one, as the Lebanese Civil War (1975–1990) and subsequent conflicts significantly altered the political landscape.[citation needed]"
War,alter,landscape.[citation,"The Open Door Policy facilitated foreign capital inflows, with French firms dominating investments and four of Beirut's five leading banks being French-owned by the 1920s,[123] after which the city further solidified its status as a key financial link between the West and the decolonising Middle East.[123]
In an area dominated by authoritarian or militarist regimes, the Lebanese capital was generally regarded as a haven of libertarianism, though a precarious one, as the Lebanese Civil War (1975–1990) and subsequent conflicts significantly altered the political landscape.[citation needed]"
Beirut,become,centre,"With its seaport and airport—coupled with Lebanon's free economic and foreign exchange system, solid gold-backed currency, banking-secrecy law, and favourable interest rates—Beirut became an established banking centre for Arab wealth, much of which was invested in construction, commercial enterprise, and industry (mostly the manufacture of textiles and shoes, food processing, and printing).[124]"
capital,host,Banking,"The capital hosts the headquarters of Banque du Liban (Lebanon's central bank), the Beirut Stock Exchange, the head office of Lebanon's flag-carrier Middle East Airlines, the United Nations Economic and Social Commission for Western Asia, the Union of Arab Banks, and the Union of Arab Stock Exchanges.[126]
Banking and finance
[edit]The banking system is the backbone of the local economy with a balance sheet of $152 billion at the end of 2012, nearing 3.5 times the GDP estimated at $43 billion by the IMF.[127]"
Banks,attract,deposits,"""Banks are still attracting deposits because the interest rates offered are higher than the ones in Europe and the United States"", says Marwan Mikhael, head of research at BLOM Bank.[128"
they,reach,billion,Beirut's foreign reserves were still close to an all-time high when they reached $32.5 billion in 2011 and analysts say that the Central Bank can cover nearly 80 percent of the Lebanese currency in the market.
Bank,cover,percent,Beirut's foreign reserves were still close to an all-time high when they reached $32.5 billion in 2011 and analysts say that the Central Bank can cover nearly 80 percent of the Lebanese currency in the market.
that,promote,role,"This means that the Central Bank can easily cope with any unforeseen crisis in the future thanks to the massive foreign currency reserves.[129]
The Lebanese banking system is endowed with several characteristics that promote the role of Beirut as a regional financial centre, in terms of ensuring protection for foreign capital and earnings."
passing,subject,banks,"The passing of the banking secrecy law on 3 September 1956, subjected all banks established in Lebanon as well as foreign banks' branches to the ""secret of the profession""."
article,offer,exemptions,"Both article 16 of law No. 282 dated 30 December 1993 and article 12 of decree No. 5451 dated 26 August 1994, offer exemptions from income tax on all interest and revenues earned on all types of accounts opened in Lebanese banks."
No,establish,Tourism,"On the first of April 1975, decree No. 29 established a free banking zone by granting the Lebanese government the right to exempt non-residents' deposits and liabilities in foreign currency from: the income tax on interest earned, the required reserves imposed by the Banque Du Liban by virtue of article 76 of the Code of Money and Credit, the premium of deposit guarantee imposed on bank deposits to the profit of the National Deposit Guarantee Institution.[130]
Tourism
[edit]The tourism industry in Beirut has been historically important to the local economy and remains to this day to be a major source of revenue for the city, and Lebanon in general."
visitors,experience,culture,"Before the Lebanese Civil War, Beirut was widely regarded as the ""Paris of the Middle East"",[131] and also ""Switzerland of the Middle East"", often cited as a financial and business hub where visitors could experience the Levantine Mediterranean culture."
countries,place,Lebanon,"However, in recent times, certain countries, such as the United States, have frequently placed Lebanon, and Beirut in particular, on their travel warnings lists due to the many car bombings and orchestrated acts of political violence.[132][133][134]
According to the 2012 tourist statistics, 34% of the tourists in Beirut came from states within the Arab League, 33% came from European countries (mainly France, Germany, and Britain), and 16% from the Americas (about half of which are from the United States).[135]"
District,contain,dozens,"The District contains dozens of restaurants, cafes and pubs, as well as a wide range of shopping stores mainly in Beirut Souks."
that,encircle,seafront,"Another popular tourist destination in Beirut is the Corniche Beirut, a 4.8 km (3 mi) pedestrian promenade that encircles the capital's seafront from the Saint George Bay in the north all the way to Avenue de Paris and Avenue General de Gaulle south of the city."
corniche,reach,height,"The corniche reaches its maximum height above sea level at Raouché, a high-rise residential neighbourhood rising over a giant white limestone cliff and facing the recognisable off-shore Raouché Rocks."
it,become,destination,Because of the blossoming café and bar scene it has become lately a hip destination for Beirut's young and restless but old Beirutis remember that Badaro was already Beirut's version of the Village in the swinging sixties.[citation needed]
magazine,call,Gemmayzeh,"Travel + Leisure magazine called Gemmayzeh ""SoHo by the Sea,"" due to its colourful and chic cafés amid 1950s apartment buildings and hole-in-the-wall shops.[136]"
Gemmayzeh,receive,damage,"However, Gemmayzeh received the most damage by the Beirut explosion in 2020.[137]
Beirut is a destination for tourists from both the Arab world and West.[138]"
Guardian,list,Beirut,"That list was voted upon shortly before the 2006 Lebanon War broke out, but in 2008 The Guardian listed Beirut as one of its top ten cities in the world.[140]"
Times,rank,it,"The New York Times ranked it at number one on its ""44 Places to To"" list for 2009.[141]"
Beirut,have,levels,"2011 MasterCard Index revealed that Beirut had the second-highest visitor spending levels in the Middle East and Africa, totalling $6.5 billion.[142"
visitors,make,bulk,"Although visitors from neighbouring Arab nations make up the bulk of medical tourism patients here due to its proximity, Beirut is strongly trying to woo more Southern Europeans, Asians and North Americans to its land."
Commission,headquarter,Organization,"The United Nations Economic and Social Commission for Western Asia (ESCWA) is headquartered in downtown Beirut,[151][152] The Arab Air Carriers' Organization (AACO),[153] the Union of Arab Banks[154] and the Union of Arab Stock Exchanges[155] and the World youth alliance are also headquartered in the city."
Organization,have,offices,"The International Labour Organization (ILO)[156] and UNESCO (United Nations Educational, Scientific and Cultural Organization)[157] both have regional offices in Beirut covering the Arab world."
Beirut,have,connections,"As a final destination, Lebanon can be reached by road from Damascus via the Beqaa valley in the east.[165]
Beirut has frequent bus connections to other cities in Lebanon and major cities in Syria such as Homs and its capital Damascus."
ministry,purchase,buses,"Buses for northern destinations and Syria leave from Charles Helou Station.[166]
The ministry of transport and public works purchased an extra 250 intra and inter-buses in 2012 to better serve regions outside the capital as well as congestion-choked Beirut, hoping to lessen the use of private cars.[citation needed]
Beirut has also private buses that are provided by the Lebanese Commuting Company."
Beirut,have,buses,"Buses for northern destinations and Syria leave from Charles Helou Station.[166]
The ministry of transport and public works purchased an extra 250 intra and inter-buses in 2012 to better serve regions outside the capital as well as congestion-choked Beirut, hoping to lessen the use of private cars.[citation needed]
Beirut has also private buses that are provided by the Lebanese Commuting Company."
Beirut,introduce,service,"
In 2017, Beirut introduced a bike sharing service in certain areas of the city."
Company,reintroduce,system[167,"In 2024, Ahdab Commuting and Trading Company (ACTC), alongside the Ministry of Transport, reintroduced a proper public bus system[167] with an appropriate network of lanes using the 50 buses donated by France in 2022.[168]"
network,connect,areas,"The network connects most areas of Beirut through 7 major lines (B1-7), as well as connecting Beirut to other major cities like Tripoli and Saida[169] through 4 lines (ML1-4).[170]"
Beirut,host,summits,"Beirut hosted the Francophonie and Arab League summits in 2002, and in 2007 it hosted the ceremony for the Prix Albert Londres,[172][173] which rewards outstanding francophone journalists every year."
it,host,ceremony,"Beirut hosted the Francophonie and Arab League summits in 2002, and in 2007 it hosted the ceremony for the Prix Albert Londres,[172][173] which rewards outstanding francophone journalists every year."
which,reward,journalists,"Beirut hosted the Francophonie and Arab League summits in 2002, and in 2007 it hosted the ceremony for the Prix Albert Londres,[172][173] which rewards outstanding francophone journalists every year."
Monnot,have,reputation,"Rue Monnot has an international reputation among clubbers,[178] and Rue Gouraud in districts such as Gemmayze and Mar Mikhael have emerged as new hotspots for bar patrons and clubbers, as well as ""The Alleyway"" in Hamra Street."
It,have,exhibits,"It has about 1,300 exhibits ranging in date from prehistoric times to the medieval Mamluk period.[179]"
collection,show,set,"The permanent collection shows a set of Japanese engravings, numerous works of Islamic art and classic Italian paintings, while temporary exhibitions are also shown throughout the year."
Museum,exhibit,collection,The Robert Mouawad Private Museum near Beirut's Grand Serail exhibits Henri Pharaon's private collection of archaeology and antiques.[181][182]
University,open,Museum,"The Saint Joseph University opened the Museum of Lebanese Prehistory in 2000, the first prehistory museum in the Arabic Middle East, displaying bones, stone tools and neolithic pottery collected by Jesuits.[184]
In October 2013, Mim Museum, a private mineral museum, opened its doors to the public."
Museum,open,doors,"The Saint Joseph University opened the Museum of Lebanese Prehistory in 2000, the first prehistory museum in the Arabic Middle East, displaying bones, stone tools and neolithic pottery collected by Jesuits.[184]
In October 2013, Mim Museum, a private mineral museum, opened its doors to the public."
It,have,minerals,It has on display some 2000 minerals from more than 70 countries.
Mim,host,exhibition,"Moreover, Mim hosts a thematic exhibition of 200 marine fossils."
Beirut,have,levels,"The 2011 MasterCard Index revealed that Beirut had the second-highest visitor spending levels in the Middle East and Africa, totalling $6.5 billion.[142]"
Traveller,rank,Beirut,"In 2013, Condé Nast Traveller ranked Beirut in the top 20 best cities in the world.[193]"
Yahoo,list,Beirut,"In 2016, Yahoo listed Beirut as the best international city for food.[196]"
Travel,rank,Beirut,"Travel and Leisure ranked Beirut in the top 15 of the world's best cities.[197]
It was voted the must-visit city for the year 2019 by World Tourists.[citation needed]
Due to anti-government protests as of October 2019 followed by dire economic situation and travel bans due to coronavirus outbreak, the tourism sector was badly affected resulting in decrease of number of tourists."
stations,include,Liban,"Television stations that are headquartered in Beirut include state run Télé Liban, in addition to the private networks LBC, ÓTV (Orange TV), MTV Lebanon, Tele Lumiere (Catholic TV), Future TV, New TV, NBN, and ANB among others."
channels,include,TV,"
Other channels that can be seen here include Saudi TV 1 on 33 UHF as well as MBC 1, MBC 4, MBC Action, Al Jazeera, Rotana, OSN First, OSN News, Al Yawm and Arabic Series Channel on 45 UHF."
newspapers,include,Beirut,"
While newspapers that headquartered here include Daily Beirut, An-Nahar, Al Joumhouria, As-Safir, Al Mustaqbal, Al-Akhbar, Al-Balad, Ad-Diyar, Al Anwar, Al Sharq, newspapers and magazines that are published in French and English are also available, and these include L'Orient Le Jour (since 1970), La Revue Du Liban, Al Balad-French Version, Al Intiqad, Magazine L'Hebdo, Le Commerce du Levant, Executive Magazine (weekly), Beirut Online, Beirut Times (weekly) and Monday Morning."
these,include,Jour,"
While newspapers that headquartered here include Daily Beirut, An-Nahar, Al Joumhouria, As-Safir, Al Mustaqbal, Al-Akhbar, Al-Balad, Ad-Diyar, Al Anwar, Al Sharq, newspapers and magazines that are published in French and English are also available, and these include L'Orient Le Jour (since 1970), La Revue Du Liban, Al Balad-French Version, Al Intiqad, Magazine L'Hebdo, Le Commerce du Levant, Executive Magazine (weekly), Beirut Online, Beirut Times (weekly) and Monday Morning."
capital,host,Games,"[edit]The Lebanese capital hosted the Mediterranean Games in 1959, FIBA Asia Champions Cup in 1999, 2000, 2012, the AFC Asian Cup in 2000, and the FIBA Asia Cup in 2010."
Beirut,host,Games,Beirut also hosted the Pan Arab Games in 1957 and 1997.
Beirut,host,Cup,"In 2017, Beirut also hosted the 2017 FIBA Asia Cup."
Beirut,host,Cup.[198][199,"
Beirut, with Sidon and Tripoli, hosted the 2000 AFC Asian Cup.[198][199]"
events,include,Marathon,"Other sports events in Beirut include the annual Beirut Marathon, hip ball, weekly horse racing at the Beirut Hippodrome, and golf and tennis tournaments that take place at Golf Club of Lebanon."
that,take,place,"Other sports events in Beirut include the annual Beirut Marathon, hip ball, weekly horse racing at the Beirut Hippodrome, and golf and tennis tournaments that take place at Golf Club of Lebanon."
labels,have,shops,"Most major fashion labels have shops in Beirut's shopping districts, and the city is home to a number of local fashion designers, some of whom like Elie Saab, Yara Farhat, Reem Acra, Zuhair Murad, Georges Chakra, Georges Hobeika, Jean Faris, Nicolas Jebran, Rabih Kayrouz and Abed Mahfouz have achieved"
that,include,Beirut,"Notable artists that have included Beirut on their concert tours include Shakira, Mariah Carey, Enrique Iglesias, Andrea Bocelli, Pitbull, Engelbert Humperdinck, and Scorpions."
artists,include,Shakira,"Notable artists that have included Beirut on their concert tours include Shakira, Mariah Carey, Enrique Iglesias, Andrea Bocelli, Pitbull, Engelbert Humperdinck, and Scorpions."
novel,take,place,"
In art, literature, and popular culture
[edit]- Tawfiq Yusuf 'Awwad's 1972 novel Death In Beirut (Arabic: طواحين بيروت) takes place in Beirut in the late 1960s."
book,describe,Beirut,"
- Ghada al-Samman's 1977 book Beirut Nightmares (Arabic: كوابيس بيروت) describes Beirut during the civil war in the mid-1970s."
